Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 002-CTRL1_GST CAA5769A2MA2-40-222306	Peptides 004-CTRL2_GST CAA5769A4MA2-40-222313	Peptides 006-CTRL3_GST CAA5769A6MA2-40-222321	Peptides 008-CS1_GST CAA5769A8MA2-40-222333	Peptides 010-CS2_GST CAA5769A10MA2-40-222342	Peptides 012-CS3_GST CAA5769A12MA2-40-222421	Peptides 014-CTRL1_26S CAA5769A14MA2-40-222435	Peptides 016-CTRL2_26S CAA5769A16MA2-40-222440	Peptides 018-CTRL3_26S CAA5769A18MA2-40-222445	Peptides 020-CS1_26S CAA5769A20MA2-40-222451	Peptides 022-CS2_26S CAA5769A22MA2-40-222460	Peptides 024-CS3_26S CAA5769A24MA2-40-222468	Razor + unique peptides 002-CTRL1_GST CAA5769A2MA2-40-222306	Razor + unique peptides 004-CTRL2_GST CAA5769A4MA2-40-222313	Razor + unique peptides 006-CTRL3_GST CAA5769A6MA2-40-222321	Razor + unique peptides 008-CS1_GST CAA5769A8MA2-40-222333	Razor + unique peptides 010-CS2_GST CAA5769A10MA2-40-222342	Razor + unique peptides 012-CS3_GST CAA5769A12MA2-40-222421	Razor + unique peptides 014-CTRL1_26S CAA5769A14MA2-40-222435	Razor + unique peptides 016-CTRL2_26S CAA5769A16MA2-40-222440	Razor + unique peptides 018-CTRL3_26S CAA5769A18MA2-40-222445	Razor + unique peptides 020-CS1_26S CAA5769A20MA2-40-222451	Razor + unique peptides 022-CS2_26S CAA5769A22MA2-40-222460	Razor + unique peptides 024-CS3_26S CAA5769A24MA2-40-222468	Unique peptides 002-CTRL1_GST CAA5769A2MA2-40-222306	Unique peptides 004-CTRL2_GST CAA5769A4MA2-40-222313	Unique peptides 006-CTRL3_GST CAA5769A6MA2-40-222321	Unique peptides 008-CS1_GST CAA5769A8MA2-40-222333	Unique peptides 010-CS2_GST CAA5769A10MA2-40-222342	Unique peptides 012-CS3_GST CAA5769A12MA2-40-222421	Unique peptides 014-CTRL1_26S CAA5769A14MA2-40-222435	Unique peptides 016-CTRL2_26S CAA5769A16MA2-40-222440	Unique peptides 018-CTRL3_26S CAA5769A18MA2-40-222445	Unique peptides 020-CS1_26S CAA5769A20MA2-40-222451	Unique peptides 022-CS2_26S CAA5769A22MA2-40-222460	Unique peptides 024-CS3_26S CAA5769A24MA2-40-222468	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 002-CTRL1_GST CAA5769A2MA2-40-222306	Identification type 004-CTRL2_GST CAA5769A4MA2-40-222313	Identification type 006-CTRL3_GST CAA5769A6MA2-40-222321	Identification type 008-CS1_GST CAA5769A8MA2-40-222333	Identification type 010-CS2_GST CAA5769A10MA2-40-222342	Identification type 012-CS3_GST CAA5769A12MA2-40-222421	Identification type 014-CTRL1_26S CAA5769A14MA2-40-222435	Identification type 016-CTRL2_26S CAA5769A16MA2-40-222440	Identification type 018-CTRL3_26S CAA5769A18MA2-40-222445	Identification type 020-CS1_26S CAA5769A20MA2-40-222451	Identification type 022-CS2_26S CAA5769A22MA2-40-222460	Identification type 024-CS3_26S CAA5769A24MA2-40-222468	Sequence coverage 002-CTRL1_GST CAA5769A2MA2-40-222306 [%]	Sequence coverage 004-CTRL2_GST CAA5769A4MA2-40-222313 [%]	Sequence coverage 006-CTRL3_GST CAA5769A6MA2-40-222321 [%]	Sequence coverage 008-CS1_GST CAA5769A8MA2-40-222333 [%]	Sequence coverage 010-CS2_GST CAA5769A10MA2-40-222342 [%]	Sequence coverage 012-CS3_GST CAA5769A12MA2-40-222421 [%]	Sequence coverage 014-CTRL1_26S CAA5769A14MA2-40-222435 [%]	Sequence coverage 016-CTRL2_26S CAA5769A16MA2-40-222440 [%]	Sequence coverage 018-CTRL3_26S CAA5769A18MA2-40-222445 [%]	Sequence coverage 020-CS1_26S CAA5769A20MA2-40-222451 [%]	Sequence coverage 022-CS2_26S CAA5769A22MA2-40-222460 [%]	Sequence coverage 024-CS3_26S CAA5769A24MA2-40-222468 [%]	Intensity	Intensity 002-CTRL1_GST CAA5769A2MA2-40-222306	Intensity 004-CTRL2_GST CAA5769A4MA2-40-222313	Intensity 006-CTRL3_GST CAA5769A6MA2-40-222321	Intensity 008-CS1_GST CAA5769A8MA2-40-222333	Intensity 010-CS2_GST CAA5769A10MA2-40-222342	Intensity 012-CS3_GST CAA5769A12MA2-40-222421	Intensity 014-CTRL1_26S CAA5769A14MA2-40-222435	Intensity 016-CTRL2_26S CAA5769A16MA2-40-222440	Intensity 018-CTRL3_26S CAA5769A18MA2-40-222445	Intensity 020-CS1_26S CAA5769A20MA2-40-222451	Intensity 022-CS2_26S CAA5769A22MA2-40-222460	Intensity 024-CS3_26S CAA5769A24MA2-40-222468	LFQ intensity 002-CTRL1_GST CAA5769A2MA2-40-222306	LFQ intensity 004-CTRL2_GST CAA5769A4MA2-40-222313	LFQ intensity 006-CTRL3_GST CAA5769A6MA2-40-222321	LFQ intensity 008-CS1_GST CAA5769A8MA2-40-222333	LFQ intensity 010-CS2_GST CAA5769A10MA2-40-222342	LFQ intensity 012-CS3_GST CAA5769A12MA2-40-222421	LFQ intensity 014-CTRL1_26S CAA5769A14MA2-40-222435	LFQ intensity 016-CTRL2_26S CAA5769A16MA2-40-222440	LFQ intensity 018-CTRL3_26S CAA5769A18MA2-40-222445	LFQ intensity 020-CS1_26S CAA5769A20MA2-40-222451	LFQ intensity 022-CS2_26S CAA5769A22MA2-40-222460	LFQ intensity 024-CS3_26S CAA5769A24MA2-40-222468	MS/MS count 002-CTRL1_GST CAA5769A2MA2-40-222306	MS/MS count 004-CTRL2_GST CAA5769A4MA2-40-222313	MS/MS count 006-CTRL3_GST CAA5769A6MA2-40-222321	MS/MS count 008-CS1_GST CAA5769A8MA2-40-222333	MS/MS count 010-CS2_GST CAA5769A10MA2-40-222342	MS/MS count 012-CS3_GST CAA5769A12MA2-40-222421	MS/MS count 014-CTRL1_26S CAA5769A14MA2-40-222435	MS/MS count 016-CTRL2_26S CAA5769A16MA2-40-222440	MS/MS count 018-CTRL3_26S CAA5769A18MA2-40-222445	MS/MS count 020-CS1_26S CAA5769A20MA2-40-222451	MS/MS count 022-CS2_26S CAA5769A22MA2-40-222460	MS/MS count 024-CS3_26S CAA5769A24MA2-40-222468	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
sp|Q99JY9|ARP3_MOUSE;tr|A0A087WRA1|A0A087WRA1_MOUSE;tr|A0A087WQ14|A0A087WQ14_MOUSE;tr|A0A087WP86|A0A087WP86_MOUSE;tr|A0A087WS98|A0A087WS98_MOUSE;tr|A0A087WQ83|A0A087WQ83_MOUSE;sp|Q641P0|ARP3B_MOUSE;tr|A0A087WPR6|A0A087WPR6_MOUSE	sp|Q99JY9|ARP3_MOUSE	15;7;6;5;4;2;2;1	15;7;6;5;4;2;2;1	15;7;6;5;4;2;2;1	sp|Q99JY9|ARP3_MOUSE Actin-related protein 3 OS=Mus musculus OX=10090 GN=Actr3 PE=1 SV=3	8	15	15	15	1	0	0	0	0	1	15	15	14	15	13	14	1	0	0	0	0	1	15	15	14	15	13	14	1	0	0	0	0	1	15	15	14	15	13	14	48.6	48.6	48.6	47.357	418	418;216;161;155;129;70;418;41	0	125.68	By matching					By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	3.1	0	0	0	0	2.9	48.6	48.6	46.4	48.6	40.4	46.4	795410000	507050	0	0	0	0	104640	134460000	123670000	122240000	140890000	139300000	134230000	0	0	0	0	0	0	22379000	35818000	35610000	37907000	58641000	25810000	0	0	0	0	0	0	6	8	13	14	7	8	56				646	133;898;1023;1477;1877;1986;2060;2543;3000;3188;3290;3695;3873;4795;5702	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	143;942;1072;1536;1948;2061;2137;2637;3103;3298;3403;3835;4024;4957;5896	1099;1100;1101;1102;1103;1104;7461;7462;7463;7464;7465;7466;8492;8493;8494;8495;8496;8497;12103;12104;12105;12106;12107;12108;15464;15465;15466;15467;15468;15469;16421;16422;16423;16424;16425;16426;16427;16428;16429;16430;16431;16432;17069;17070;17071;17072;21433;21434;21435;21436;21437;21438;21439;21440;21441;21442;21443;25410;25411;25412;25413;25414;26952;26953;26954;26955;26956;27747;27748;27749;27750;27751;27752;31130;31131;31132;31133;31134;31135;31136;32708;32709;32710;32711;32712;32713;32714;32715;32716;32717;32718;32719;32720;40038;40039;40040;40041;40042;40043;47875;47876;47877;47878;47879;47880	605;606;607;4304;4872;6900;6901;8803;8804;8805;8806;8807;8808;8809;9396;9397;9398;9399;9400;9401;9402;9403;9404;9782;12365;12366;12367;14689;14690;15411;15412;15413;15414;15415;15821;15822;15823;15824;15825;15826;17577;17578;17579;18427;18428;18429;18430;18431;22440;22441;22442;22443;22444;22445;22446;26912;26913;26914;26915;26916	606;4304;4872;6901;8804;9399;9782;12367;14690;15412;15826;17578;18430;22440;26915			-1;-1;-1;-1;-1;-1;-1;-1
sp|Q99K41|EMIL1_MOUSE	sp|Q99K41|EMIL1_MOUSE	2	2	2	sp|Q99K41|EMIL1_MOUSE EMILIN-1 OS=Mus musculus OX=10090 GN=Emilin1 PE=1 SV=1	1	2	2	2	1	0	0	1	0	1	2	2	2	2	2	2	1	0	0	1	0	1	2	2	2	2	2	2	1	0	0	1	0	1	2	2	2	2	2	2	2.5	2.5	2.5	107.58	1017	1017	0	13.453	By matching			By matching		By matching	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By matching	1	0	0	1	0	1	2.5	2.5	2.5	2.5	2.5	2.5	22453000	686070	0	0	315580	0	150070	6491900	4149600	4022000	1750500	2251100	2635800	0	0	0	0	0	0	1566000	1035100	945960	629080	810250	662880	0	0	0	0	0	0	2	1	0	0	0	0	3				647	3097;3254	True;True	3203;3367	26221;26222;26223;26224;26225;26226;26227;26228;26229;27488;27489;27490;27491;27492;27493	15094;15690;15691	15094;15690			-1
sp|Q99K48|NONO_MOUSE	sp|Q99K48|NONO_MOUSE	2	2	2	sp|Q99K48|NONO_MOUSE Non-POU domain-containing octamer-binding protein OS=Mus musculus OX=10090 GN=Nono PE=1 SV=3	1	2	2	2	0	1	0	0	0	0	1	1	1	0	1	2	0	1	0	0	0	0	1	1	1	0	1	2	0	1	0	0	0	0	1	1	1	0	1	2	4.4	4.4	4.4	54.54	473	473	0	13.098		By matching					By MS/MS	By MS/MS	By MS/MS		By MS/MS	By MS/MS	0	2.5	0	0	0	0	2.5	2.5	2.5	0	2.5	4.4	8769200	0	79341	0	0	0	0	2310900	1784200	1270000	0	1264000	2060700	0	0	0	0	0	0	0	0	0	0	0	397290	0	0	0	0	0	0	0	1	1	0	1	2	5				648	4156;5070	True;True	4309;5245	34974;34975;34976;34977;34978;34979;42493	19670;19671;19672;19673;23954	19672;23954			-1
tr|A0A1C7CYV0|A0A1C7CYV0_MOUSE;sp|Q99K51|PLST_MOUSE;tr|B1AX58|B1AX58_MOUSE	tr|A0A1C7CYV0|A0A1C7CYV0_MOUSE;sp|Q99K51|PLST_MOUSE;tr|B1AX58|B1AX58_MOUSE	5;5;5	4;4;4	3;3;3	tr|A0A1C7CYV0|A0A1C7CYV0_MOUSE Plastin-3 (Fragment) OS=Mus musculus OX=10090 GN=Pls3 PE=1 SV=1;sp|Q99K51|PLST_MOUSE Plastin-3 OS=Mus musculus OX=10090 GN=Pls3 PE=1 SV=3;tr|B1AX58|B1AX58_MOUSE Plastin-3 OS=Mus musculus OX=10090 GN=Pls3 PE=1 SV=1	3	5	4	3	5	1	0	4	2	2	5	1	3	3	3	2	4	1	0	3	2	2	4	1	3	3	3	2	3	1	0	2	1	1	3	0	2	2	3	2	9.7	7.6	5.7	70.642	629	629;630;639	0	31.804	By MS/MS	By matching		By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	9.7	1.6	0	8.1	3.5	3.5	9.7	1.9	6	6	5.7	4.1	66200000	11174000	155030	0	4093000	648590	452560	17246000	1285700	4905200	16722000	3426400	6092300	7922900	0	0	6200000	4423100	3189800	2370500	0	2245500	3967800	0	2485000	3	0	0	2	0	1	2	0	0	3	1	0	12				649	139;543;668;2167;3507	True;True;True;True;False	149;575;706;2248;3631	1143;1144;1145;1146;1147;1148;1149;1150;1151;1152;4502;4503;4504;4505;4506;4507;4508;4509;4510;5401;5402;5403;18075;18076;18077;18078;18079;18080;18081;29611;29612;29613	623;624;625;626;627;628;629;2609;2610;2611;3108;10363;16769	626;2609;3108;10363;16769			-1;-1;-1
tr|E9Q2H8|E9Q2H8_MOUSE;tr|E9PYA3|E9PYA3_MOUSE;tr|A0A0R4J052|A0A0R4J052_MOUSE;tr|G5E8T9|G5E8T9_MOUSE;sp|Q99KB8|GLO2_MOUSE	tr|E9Q2H8|E9Q2H8_MOUSE;tr|E9PYA3|E9PYA3_MOUSE;tr|A0A0R4J052|A0A0R4J052_MOUSE;tr|G5E8T9|G5E8T9_MOUSE;sp|Q99KB8|GLO2_MOUSE	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	tr|E9Q2H8|E9Q2H8_MOUSE Hydroxyacylglutathione hydrolase, mitochondrial (Fragment) OS=Mus musculus OX=10090 GN=Hagh PE=1 SV=1;tr|E9PYA3|E9PYA3_MOUSE Hydroxyacylglutathione hydrolase, mitochondrial (Fragment) OS=Mus musculus OX=10090 GN=Hagh PE=1 SV=1;tr|A0A	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.5	5.5	5.5	23.756	217	217;237;260;309;309	0	7.2777	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	By MS/MS	By matching	By matching	5.5	5.5	5.5	5.5	5.5	5.5	5.5	5.5	5.5	5.5	5.5	5.5	7778800	527540	297430	117230	327290	149530	485740	1121700	802700	766750	1111300	766060	1305500	0	0	0	0	0	0	0	0	0	0	0	251700	1	0	0	0	0	1	0	0	0	0	0	0	2				650	2108	True	2187	17509;17510;17511;17512;17513;17514;17515;17516;17517;17518;17519;17520	10060;10061	10060			-1;-1;-1;-1;-1
sp|Q99KC8|VMA5A_MOUSE	sp|Q99KC8|VMA5A_MOUSE	6	6	6	sp|Q99KC8|VMA5A_MOUSE von Willebrand factor A domain-containing protein 5A OS=Mus musculus OX=10090 GN=Vwa5a PE=1 SV=2	1	6	6	6	6	0	0	4	2	5	4	3	3	3	3	4	6	0	0	4	2	5	4	3	3	3	3	4	6	0	0	4	2	5	4	3	3	3	3	4	8.2	8.2	8.2	87.142	793	793	0	35.873	By MS/MS			By MS/MS	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	8.2	0	0	5.4	2.8	6.7	5.5	4.2	4	4.3	4.3	5.5	26507000	6871600	0	0	1627500	207190	846830	5679800	1228000	1274400	3621000	1229800	3920800	8462800	0	0	1460700	0	1634800	1269300	655800	750480	1017200	675970	1000800	5	0	0	0	0	0	0	0	0	1	0	0	6				651	359;1167;3917;4884;5623;5705	True;True;True;True;True;True	385;1222;4068;5052;5814;5899	3012;3013;3014;3015;3016;3017;3018;3019;3020;3021;9678;9679;9680;9681;9682;9683;9684;9685;9686;9687;33056;33057;33058;33059;33060;40852;40853;40854;40855;40856;47118;47119;47120;47899;47900;47901;47902	1703;5458;18601;22914;26398;26923	1703;5458;18601;22914;26398;26923			-1
sp|Q99KJ8|DCTN2_MOUSE	sp|Q99KJ8|DCTN2_MOUSE	9	9	9	sp|Q99KJ8|DCTN2_MOUSE Dynactin subunit 2 OS=Mus musculus OX=10090 GN=Dctn2 PE=1 SV=3	1	9	9	9	4	1	0	1	0	1	9	9	9	8	9	9	4	1	0	1	0	1	9	9	9	8	9	9	4	1	0	1	0	1	9	9	9	8	9	9	29.6	29.6	29.6	44.116	402	402	0	313.42	By matching	By matching		By matching		By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	14.4	3.5	0	4.7	0	2.2	29.6	29.6	29.6	26.1	29.6	29.6	539810000	2798300	191980	0	197980	0	289760	130550000	94520000	25928000	43701000	30574000	211060000	4030500	0	0	0	0	0	25059000	30697000	7863000	9770600	11670000	40991000	0	0	0	0	0	0	9	6	4	7	5	7	38				652	795;1202;3099;3103;3121;3327;4010;4716;5152	True;True;True;True;True;True;True;True;True	837;1259;3205;3209;3227;3440;4162;4877;5327	6602;6603;6604;6605;6606;9948;9949;9950;9951;9952;9953;9954;26237;26238;26239;26240;26241;26242;26243;26244;26262;26263;26264;26265;26266;26267;26268;26269;26270;26271;26272;26273;26274;26275;26276;26434;26435;26436;26437;26438;26439;28026;28027;28028;28029;28030;28031;28032;28033;33806;33807;33808;33809;33810;33811;39359;39360;39361;39362;39363;39364;43193;43194;43195;43196;43197;43198	3860;5632;5633;5634;5635;5636;15098;15099;15100;15101;15102;15103;15104;15105;15113;15114;15115;15116;15117;15118;15119;15120;15121;15122;15178;15179;15977;15978;15979;15980;19014;22060;22061;22062;22063;22064;24315;24316	3860;5635;15105;15121;15179;15979;19014;22062;24316			-1
tr|A0A494BA16|A0A494BA16_MOUSE;tr|A0A494BBC1|A0A494BBC1_MOUSE;sp|Q99KK7|DPP3_MOUSE	tr|A0A494BA16|A0A494BA16_MOUSE;tr|A0A494BBC1|A0A494BBC1_MOUSE;sp|Q99KK7|DPP3_MOUSE	1;1;1	1;1;1	1;1;1	tr|A0A494BA16|A0A494BA16_MOUSE Dipeptidyl peptidase 3 (Fragment) OS=Mus musculus OX=10090 GN=Dpp3 PE=1 SV=1;tr|A0A494BBC1|A0A494BBC1_MOUSE Dipeptidyl peptidase 3 OS=Mus musculus OX=10090 GN=Dpp3 PE=1 SV=1;sp|Q99KK7|DPP3_MOUSE Dipeptidyl peptidase 3 OS=Mus 	3	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	9.7	9.7	9.7	20.945	185	185;455;738	0	46.889	By MS/MS			By matching			By matching			By matching			9.7	0	0	9.7	0	0	9.7	0	0	9.7	0	0	6117800	2192800	0	0	809430	0	0	1388800	0	0	1726800	0	0	0	0	0	0	0	0	0	0	0	389360	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2				653	2815	True	2917	23838;23839;23840;23841	13546;13547	13546			-1;-1;-1
sp|Q99L47|F10A1_MOUSE;tr|F8WJK8|F8WJK8_MOUSE;tr|E9Q1V0|E9Q1V0_MOUSE	sp|Q99L47|F10A1_MOUSE;tr|F8WJK8|F8WJK8_MOUSE;tr|E9Q1V0|E9Q1V0_MOUSE	3;3;2	3;3;2	3;3;2	sp|Q99L47|F10A1_MOUSE Hsc70-interacting protein OS=Mus musculus OX=10090 GN=St13 PE=1 SV=1;tr|F8WJK8|F8WJK8_MOUSE Hsc70-interacting protein OS=Mus musculus OX=10090 GN=St13 PE=1 SV=1;tr|E9Q1V0|E9Q1V0_MOUSE Hsc70-interacting protein (Fragment) OS=Mus muscul	3	3	3	3	3	0	0	3	0	0	0	0	0	1	0	0	3	0	0	3	0	0	0	0	0	1	0	0	3	0	0	3	0	0	0	0	0	1	0	0	9.7	9.7	9.7	41.655	371	371;362;129	0	17.276	By MS/MS			By matching						By matching			9.7	0	0	9.7	0	0	0	0	0	2.7	0	0	7382300	4082800	0	0	1482300	0	0	0	0	0	1817200	0	0	3821100	0	0	2883000	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3				654	231;1584;2861	True;True;True	248;1646;2964	1937;1938;1939;13018;13019;24262;24263	1077;7478;14055	1077;7478;14055			-1;-1;-1
sp|Q99LC5|ETFA_MOUSE	sp|Q99LC5|ETFA_MOUSE	9	9	9	sp|Q99LC5|ETFA_MOUSE Electron transfer flavoprotein subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Etfa PE=1 SV=2	1	9	9	9	9	6	1	7	6	6	9	7	7	8	7	9	9	6	1	7	6	6	9	7	7	8	7	9	9	6	1	7	6	6	9	7	7	8	7	9	40.8	40.8	40.8	35.009	333	333	0	129.7	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	40.8	25.2	5.7	35.7	25.2	27.9	40.8	33.9	32.7	34.8	32.7	40.8	263680000	49006000	2192200	268020	23525000	3063500	3013900	56279000	14000000	9752400	47363000	10771000	44448000	42259000	16363000	0	38478000	16755000	14547000	10444000	4562500	3227000	11412000	3761500	7839000	10	1	0	7	2	3	4	3	1	6	1	3	41				655	43;397;805;1751;1861;3144;3180;4477;5265	True;True;True;True;True;True;True;True;True	43;423;847;1817;1930;3250;3289;4633;5444	333;334;335;336;337;338;339;340;341;342;343;344;3319;3320;3321;3322;3323;3324;3325;3326;6664;6665;6666;6667;6668;14452;14453;14454;14455;14456;14457;14458;14459;15335;15336;15337;15338;15339;15340;15341;15342;15343;15344;15345;26586;26587;26588;26589;26590;26591;26592;26593;26594;26595;26596;26597;26598;26909;26910;26911;26912;26913;26914;26915;26916;26917;26918;26919;37442;37443;37444;37445;37446;37447;44131;44132;44133;44134;44135;44136;44137;44138;44139;44140	181;182;183;184;185;186;187;188;189;190;191;1873;1874;1875;1876;1877;1878;3895;8252;8253;8733;8734;8735;8736;8737;8738;8739;8740;8741;8742;8743;8744;8745;15238;15239;15240;15241;15396;15397;20973;24821;24822;24823	182;1874;3895;8253;8742;15238;15396;20973;24821			-1
sp|Q99LD8|DDAH2_MOUSE;tr|O08972|O08972_MOUSE;tr|G3UZR0|G3UZR0_MOUSE	sp|Q99LD8|DDAH2_MOUSE;tr|O08972|O08972_MOUSE	6;4;2	6;4;2	6;4;2	sp|Q99LD8|DDAH2_MOUSE N(G),N(G)-dimethylarginine dimethylaminohydrolase 2 OS=Mus musculus OX=10090 GN=Ddah2 PE=1 SV=1;tr|O08972|O08972_MOUSE N(G),N(G)-dimethylarginine dimethylaminohydrolase 2 OS=Mus musculus OX=10090 GN=Ddah2 PE=1 SV=1	3	6	6	6	5	2	0	4	2	3	5	0	0	6	0	0	5	2	0	4	2	3	5	0	0	6	0	0	5	2	0	4	2	3	5	0	0	6	0	0	27	27	27	29.645	285	285;244;157	0	37.912	By MS/MS	By MS/MS		By MS/MS	By MS/MS	By MS/MS	By MS/MS			By MS/MS			23.9	10.5	0	20.4	10.5	14	23.9	0	0	27	0	0	36908000	11752000	476170	0	3484100	510250	967210	11198000	0	0	8519400	0	0	11713000	2766900	0	6681200	2571900	2777800	2097200	0	0	1956100	0	0	5	0	0	1	0	0	2	0	0	1	0	0	9				656	655;1591;1674;3289;4167;4947	True;True;True;True;True;True	692;1653;1738;3402;4320;5118	5300;5301;5302;5303;5304;5305;5306;13076;13077;13078;13079;13707;13708;13709;13710;13711;13712;13713;27743;27744;27745;27746;35068;41445;41446;41447;41448	3059;7519;7815;7816;15820;19713;23317;23318;23319	3059;7519;7816;15820;19713;23317			-1;-1;-1
sp|Q99LF4|RTCB_MOUSE	sp|Q99LF4|RTCB_MOUSE	6	6	6	sp|Q99LF4|RTCB_MOUSE RNA-splicing ligase RtcB homolog OS=Mus musculus OX=10090 GN=Rtcb PE=1 SV=1	1	6	6	6	1	0	0	0	0	0	6	6	6	5	5	6	1	0	0	0	0	0	6	6	6	5	5	6	1	0	0	0	0	0	6	6	6	5	5	6	17.2	17.2	17.2	55.249	505	505	0	39.333	By matching						By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	2.2	0	0	0	0	0	17.2	17.2	17.2	14.9	13.9	17.2	179060000	275380	0	0	0	0	0	34559000	21335000	22547000	24799000	20934000	54614000	0	0	0	0	0	0	6296900	7079900	7070400	6986000	7794300	9550000	0	0	0	0	0	0	1	1	0	2	2	4	10				657	1058;1744;3375;3533;4828;5101	True;True;True;True;True;True	1108;1810;3488;3661;4995;5276	8727;8728;8729;8730;8731;14397;14398;14399;14400;14401;14402;28456;28457;28458;28459;28460;28461;28462;29849;29850;29851;29852;29853;29854;40333;40334;40335;40336;40337;40338;42738;42739;42740;42741;42742;42743	4966;8228;8229;8230;8231;16177;16178;16179;16882;22625;22626;24071	4966;8230;16178;16882;22626;24071			-1
sp|Q99LX0|PARK7_MOUSE;tr|A2A813|A2A813_MOUSE;tr|A2A815|A2A815_MOUSE;tr|A2A817|A2A817_MOUSE;tr|A2A816|A2A816_MOUSE	sp|Q99LX0|PARK7_MOUSE;tr|A2A813|A2A813_MOUSE;tr|A2A815|A2A815_MOUSE	7;5;4;2;2	7;5;4;2;2	7;5;4;2;2	sp|Q99LX0|PARK7_MOUSE Parkinson disease protein 7 homolog OS=Mus musculus OX=10090 GN=Park7 PE=1 SV=1;tr|A2A813|A2A813_MOUSE Parkinson disease protein 7 homolog OS=Mus musculus OX=10090 GN=Park7 PE=1 SV=1;tr|A2A815|A2A815_MOUSE Parkinson disease protein 7 	5	7	7	7	5	4	2	7	5	4	3	1	1	6	2	1	5	4	2	7	5	4	3	1	1	6	2	1	5	4	2	7	5	4	3	1	1	6	2	1	45	45	45	20.021	189	189;175;135;84;125	0	55.78	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	36.5	29.6	11.6	45	34.4	28.6	25.4	4.2	4.2	38.1	12.2	4.2	175310000	50099000	2052400	313520	27958000	4502700	2123300	26110000	448190	175910	59291000	1715400	515970	61781000	6201400	0	52256000	11076000	8538200	7188300	0	0	10159000	0	0	4	0	0	5	1	0	1	0	0	2	0	0	13				658	883;1086;1589;1791;1792;3539;5404	True;True;True;True;True;True;True	927;1137;1651;1857;1858;3668;5593	7335;7336;7337;7338;7339;7340;7341;7342;9003;9004;9005;13049;13050;13051;13052;13053;13054;13055;14764;14765;14766;14767;14768;14769;14770;14771;14772;29904;29905;29906;45329;45330;45331;45332;45333;45334;45335;45336;45337;45338;45339	4230;5106;5107;7503;8413;8414;8415;8416;8417;8418;16909;25473;25474	4230;5106;7503;8415;8418;16909;25474			-1;-1;-1;-1;-1
